Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
1_[NAME1]_[NAME2]_[NAME3].ipynb;33795;Richard;Vogg;212;"19.04.2022 10:42";1_[NAME1]_[NAME2]_[NAME3].ipynb
superconduct_train.csv;23859780;Richard;Vogg;178;"19.04.2022 10:42";superconduct_train.csv
